Type
Help


Code,Title,Content
control,The Mapped Controls Widget,"<p>The Mapped Controls Widget lists the controls that are mapped to the object in question. <br></p>
<p>In the collapsed state, you can see the title of the control, and a red bust of a personif there is no Person of Contact assigned.</p>
<p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedControls-1.png""></p><br>
<p>Depending on what page you are on, and if you have the appropriate role, you will see Map Control or ""+Control"" in blue text at the bottom of the widget.  Clicking on this text will allow you to map controls to the object page you are on or will reveal multiple options if its possible to do more via the Controls widget on this page.</p>
<p><br></p>
<p>Controls will also be added to this widget if you choose the ""Make Relevant"" option when mapping Controls from under Sections or Clauses of the Regulation, Contract or Policies listedon this page.  They will also be added to this widget anytime they are mapped to other objects within this page, and ""Make Relevant"" is checked.</p>
<p><br></p>
<p>Clicking on the title of the controlin the list opens the view to display</p>
<ul>
<li>a link to the control page itself</li><li>information about the mappings of this control to directives, sections/clauses, and objectives</li><li>owner, person of contact, and url</li>
<li>a mapped objects section allowing you to map other objects within gGRCto the control in question(role dependent)</li>
</ul>
<br><p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedControls-2.png""></p><br>"
standard,The Mapped Standards Widget,"<p>The Mapped Standards Widget lists the standards that are mapped to the object in question. <br></p>
<p>In the collapsed state, you can see the title of the standard as well as the number of sections it has.</p><br>

<img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedStandards-1.png
""><p></p>

<br>
<p>If you have the appropriate role, you will see Map Standard in blue text at the bottom of the widget.  Clicking on this text will allow you to map standards to the object page you are on.</p>
<p><br></p>
<p>Clicking on the title of the standardin the list opens the view allowing you access to the functionality within a standard as determined by your role.</p>
<p>For example, a Program Owner would be able to open the standard by clicking on the title, and from there they could create sections to that standard, create objectives from those sections, and then create and mapcontrols to those objectives.</p><br>

<img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedStandards-2.png
""><p></p>"
audit,Mapped Audits,"Audits are still in Beta, which means subtle changes are occurring with each sprint. As we strive for optimal user experience, and minimization of button clicks necessary to accomplish your end goal, we seek your feedback.<br><br>To get the latest live demo of the Audit workflow, or to provide feedback based on your use of Audits, please email engage@reciprocitylabs.com.<br><br><br><br>

<p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedAudits.png""></p><p></p>"
system,The Mapped Systems Widget,"<p>The Mapped Systems Widget lists the systems that are mapped to the object in question. </p>
<p>In the collapsed state, you can see the title of the system, and a red bust of a personif there is no Person of Contact assigned.<i></i></p><p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedSystems-1.png""></p><p>


</p><p>Depending on what page you are on, and if you have the appropriate role, you will see Map System or ""+System"" in blue text at the bottom of the widget.  Clicking on this text will allow you to map systems to the object page you are on or will reveal multiple options if its possible to do more via the Systems widget on this page.</p><p><br></p><p>Clicking on the title of the System in the list opens the view to display</p><p>

</p><ul>
<li>a link to the system page itself</li>
<li>a description of the system</li>
<li>the owner and contact person of the system</li><li>a direct link to the system URL</li>
</ul>

<p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedSystems-2.png""></p><p>

</p>"
process,The Mapped Processes Widget,"<p>The Mapped Processes Widget lists the processes that are mapped to the object in question. </p>
<p>In the collapsed state, you can see the title of the system, and a red bust of a personif there is no Person of Contact assigned.<i></i></p><p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedProcesses-1.png""></p><p>

</p><p>If you have the appropriate role, you will see Map Process in blue text at the bottom of the widget.  Clicking on this text will allow you to map processes to the object page you are on.</p><p><br></p><p>Clicking on the title of the Process in the list opens the view to display</p><p>
</p><ul>
<li>a link to the process page itself</li>
<li>a description of the process</li>
<li>the owner and contact person of the process</li><li>a direct link to the process URL</li>
</ul>

<p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedProcesses-2.png""></p><p>

</p>"
data_asset,The Mapped Data Assets Widget,"<p>The Mapped Data Assets Widget lists the data assets that are mapped to the object in question. </p>
<p>In the collapsed state, you can see the title of the data asset and a red bust of a personif there is no Person of Contact assigned.<i></i></p><p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedDataAsset-1.png""></p><p>

</p><p>If you have the appropriate role, you will see Map Data Asset in blue text at the bottom of the widget.  Clicking on this text will allow you to map data assets to the object page you are on.</p><p><br></p><p>Clicking on the title of the data asset in the list opens the view to display</p><p>
</p><ul>
<li>a link to the data asset page itself</li>
<li>a description of the data asset</li>
<li>the owner and contact person of the data asset</li><li>a direct link to the data asset URL</li>
</ul>

<p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedDataAsset-2.png""></p><p>

</p>"
facility,The Mapped Facilities Widget,"<p>The Mapped Facilities Widget lists the facilities that are mapped to the object in question. </p>
<p>In the collapsed state, you can see the title of the facility and a red bust of a personif there is no Person of Contact assigned.<i></i></p><p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedFacilities-1.png""></p><p>

</p><p>If you have the appropriate role, you will see Map Facilities in blue text at the bottom of the widget.  Clicking on this text will allow you to map facilities to the object page you are on.</p><p><br></p><p>Clicking on the title of the facility in the list opens the view to display</p><p>
</p><ul>
<li>a link to the facility page itself</li>
<li>a description of the facility</li>
<li>the owner and contact person of the facility</li><li>a direct link to the facility URL</li>
</ul>

<p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedFacilities-2.png""></p><p>

</p>"
product,The Mapped Products Widget,"<p>The Mapped Products Widget lists the products that are mapped to the object in question. </p>
<p>In the collapsed state, you can see the title of the product and a red bust of a personif there is no Person of Contact assigned.<i></i></p><p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedProducts-1.png""></p><p>

</p><p>If you have the appropriate role, you will see Map Product in blue text at the bottom of the widget.  Clicking on this text will allow you to map products to the object page you are on.</p><p><br></p><p>Clicking on the title of the product in the list opens the view to display</p><p>
</p><ul>
<li>a link to the product page itself</li>
<li>a description of the product</li>
<li>the owner and contact person of the facility</li><li>a direct link to the product URL</li>
</ul>

<p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedProducts-2.png""></p><p>

</p>"
project,The Mapped Projects Widget,"<p>The Mapped Projects Widget lists the products that are mapped to the object in question. </p>
<p>In the collapsed state, you can see the title of the project and a red bust of a personif there is no Person of Contact assigned.<i></i></p><p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedProjects-1.png""></p><p>

</p><p>If you have the appropriate role, you will see Map Project in blue text at the bottom of the widget.  Clicking on this text will allow you to map projects to the object page you are on.</p><p><br></p><p>Clicking on the title of the project in the list opens the view to display</p><p>
</p><ul>
<li>a link to the project page itself</li>
<li>a description of the project</li>
<li>the owner and contact person of the project</li><li>a direct link to the project URL</li>
</ul>

<p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedProjects-2.png""></p><p>

</p>"
market,The Mapped Markets Widget,"<p>The Mapped Markets Widget lists the markets that are mapped to the object in question. </p>
<p>In the collapsed state, you can see the title of the market and a red bust of a personif there is no Person of Contact assigned.<i></i></p><p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedMarkets-1.png""></p><p>

</p><p>If you have the appropriate role, you will see Map Market in blue text at the bottom of the widget.  Clicking on this text will allow you to map markets to the object page you are on.</p><p><br></p><p>Clicking on the title of the marklet in the list opens the view to display</p><p>
</p><ul>
<li>a link to the market page itself</li>
<li>a description of the market</li>
<li>the owner and contact person of the market</li><li>a direct link to the markett URL</li>
</ul>

<p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedMarkets-2.png""></p><p>

</p>"
org_group,The Mapped Org Groups Widget,"<p>The Mapped Org Groups Widget lists the org groups that are mapped to the object in question. </p>
<p>In the collapsed state, you can see the title of the org group and a red bust of a personif there is no Person of Contact assigned.<i></i></p><p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedOrgGroups-1.png""></p><p>

</p><p>If you have the appropriate role, you will see Map Org Group in blue text at the bottom of the widget.  Clicking on this text will allow you to map org groups to the object page you are on.</p><p><br></p><p>Clicking on the title of the org group in the list opens the view to display</p><p>
</p><ul>
<li>a link to the org group page itself</li>
<li>the owner and contact person of the org group</li>
</ul>

<p><img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedOrgGroups-2.png""></p><p>

</p>"
section,The Mapped Sections Widget,"<p>The Mapped Sections Widget lists the sections that are mapped to the object in question. <br></p>
<p>In the collapsed state, you can see the title of the Section as well as the number of Objectives and Controlsit has mapped to it.</p>
<img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedSections-1.png""><p></p>


<p>Depending on what page you are on, and if you have the appropriate role, you will see Map Section or ""+Section"" in blue text at the bottom of the widget.  Clicking on this text will allow you to map sections to the object page you are on or will reveal multiple options if its possible to do more via the Sections widget on this page.</p>
<p><br></p>
<p>Clicking on the title of the Sectionin the list opens the view allowing you access to the standard functionality within a section as determined by your role.</p>

<p>For example, a Program Owner would be able to map a new section, create objectives from those sections, and then create and mapcontrols to those objectives.</p>
<img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedSections-2.png
""><p></p>"
clause,The Mapped Clauses Widget,"<p>The Mapped Clauses Widget lists the clauses that are mapped to the object in question.<br></p><p>In the collapsed state, you can see the title of the clause as well as the number of Objectives and Controls it has mapped to it.</p><p><br></p><p>

<img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedClauses-1.png"" title=""Image: https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedClauses-1.png""></p>
<p> <br></p>
<p></p><p>Depending on what page you are on, and if you have the appropriate role, you will see ""Map Clause"" or ""+Clause"" in blue text at the bottom of the widget. Clicking on this text will allow you to map sections to the object page you are on or will reveal multiple options if its possible to do more via the Clauses widget on this page.</p> <br><p>

<img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedClauses-2.png"" title=""Image: https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedClauses-2.png""></p>
<p> <br></p>
<p></p><p>Clicking on the title of the Clause in the list opens the view allowing you access to the standard functionality within a clause as determined by your role.</p><p>For example, a Program Owner would be able to map a new clause, create objectives from that clause, and then create and map controls to those objectives.</p><div><br></div>"
person,The People Widget,"The People Widget lists the people that are mapped to the object in question.<br><p>If you have the appropriate role, you will see Map People in blue text at the bottom of the widget. Clicking on this text will allow you to map people to the object page you are on.</p><br>

<img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedPeople-1.png"" title=""Image: https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedPeople-1.png""><p><br></p>

When a person is added to a Program, they may be assigned a Program Role specific to that program, via the Edit Authorizations link.

<p><br></p><p>
<img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedPeople-2.png""></p>

<br><br>The people widget is also available to system administrators on the Admin Dashboard.<br><p><br></p>

<img alt="""" src=""https://googledrive.com/host/0B_ht9ier8zIac18tYTJGTWVRREk/MappedPeople-5.png""><p>

</p><p><br></p>Admins may create a new Person Account by clicking the blue Add Person link at the bottom of the widget, or by Importing People via the Import/Export drop down on the Admin page. Once created, admins may edit these records by clicking on the edit icon to the far right of each name in the list. An Admin may grant different system wide roles for each person by clicking on the Edit Authorizations link.
<p></p>"
import_people_widget,GRC Help,<div><p>This content is coming soon. We are working on it.</p></div>
directive,Regulations/Policies/Contracts,
system_or_process,Systems or Processes,
risky_attribute,Risky Attributes,
risk,Risks,
system_process,Systems/Processes,
sectionslug,Section Slug,
document,Document,
task_group,Workflow: Task Group Help,"A Task Group involves a group of people working on tasks over a specific duration.  Map people, tasks, and gGRC objects to it."
objects,Workflow Help: Objects,"You can add any gGRC objects here, and they can be mapped to tasks."
history,Workflow Help: History,This page tracks the progress of Task Group through a Workflow.
current,Workflow Help: Current Cycle,This page shows the active Workflow that has been triggered.
task,Workflow Help: Tasks,Tasks make up a workflow.  Add them here.
PROCESS-5,Hello,Process
